"Wi-Fi Compatibility Table - Pci-Express, Mini Pci-Express and M.2 (NGFF) for macOS",,,,,,,,,,,,,,,,,,
Card model no. ,Vendor ID: Device ID,802.11+ Bluetooth,Bluetooth model,Bluetooth USB-ID and stability,MIMO,2.4GHz Speed ,5GHz Speed ,Mac OS X 10.6 Support,Mac OS X 10.7 Support,Mac OS X 10.8 Support,macOS 10.9 Support,macOS 10.10 Support,macOS 10.11 Support,macOS 10.12 Support,macOS 10.13 Support,macOS 10.14 Support,macOS 10.15 Support,macOS 11 Support
"Original Model, Broadcom Apple (full-size):  installed via PCIE-X1 or mPCIE adapter and (NGFF, M.2) ",,,,,,,,,,,,,,,,,,
BCM94350ZAE - DW1820A,[14e4:43a3],a/b/g/n/ac+bt 4.1,,[0a5c:6412] Unstable,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES
BCM943602BAED - DW1830,[14e4:43ba],a/b/g/n/ac+bt 4.1,BCM20703A1,[0a5c:8290] Unstable,3x3,150 Mbit/s,1300 Mbit/s,--,--,--,YES,YES,YES,YES,YES,YES,YES,YES
Atheros: (full-size):,,,,,,,,,,,,,,,,,,
AR5BXB114 (ar9390),[168c:0030],a/b/g/n,,,3x3,300 Mbit/s,450 Mbit/s,NO,NO,NO,NO,,,,,NO,,
AR5BXB116 (ar9580),[168c:0033],a/b/g/n,,,3x3,300 Mbit/s,450 Mbit/s,NO,NO,NO,NO,,,,,NO,,
AR5BXB63 (ar2425),[168c:001c],b/g,,,--,54 Mbit/s,--,NO,NO,NO,NO,,,,,NO,,
AR5BXB6 (ar5424),[168c:001c],a/b/g,,,--,54 Mbit/s,54 Mbit/s,YES,NO,NO,NO,,,,,NO,,
AR5BXB61 (ar2424),[168c:001c],b/g,,,--,54 Mbit/s,--,YES,NO,NO,NO,,,,,NO,,
AR5BXB72 (ar5416),[168c:0024],a/b/g/n,,,2x2,150 Mbit/s,300 Mbit/s,YES,NO,NO,NO,,,,,NO,,
AR5BXB92 (ar9280),[168c:002a],a/b/g/n,,,2x2,150 Mbit/s,300 Mbit/s,YES,YES,YES,YES,,,,,NO,,
